Questions,RESPONSES
from where i can get information about the internships and placement in the college?,"our college has a training and placement cell (t&p cell) that manages all internship and placement-related activities. for ug (undergraduate) related queries, you can contact geetanjali ma’am. for pg (postgraduate) related queries, you can contact siddharth pandey sir."
how can i register for an event in the college?,"for participation, registration links or qr codes are usually provided online on the abhiruchi instagram page as well as the official college instagram page."
from where i can get a duplicate id card if i lose mine?,"if you lose your id card, contact your hod. you will need to pay an extra fee (₹5000 approx). after approval, you’ll be directed to the media room, where your photo will be clicked, and a new id card will be issued."
i lost something in college. whom should i contact?,"if you have lost something, inform your class cr or dc regarding it ."
"i am unable to find my bus, whom should i contact?",contact transport office.the staff will tell you about the bus no. or the route
is there any lost and found counter in the campus?,"our college does not have a separate lost & found cell. if you lose or find something, inform your class representative (cr) or deputy coordinator (dc). they will post about it in the official group so that the item can be returned."
where is the media room?,it is in ab2 block (t-block) first floor.
where is the seminar hall?,it is near the auditorium
"if i find someone belonging, where should i submit them?","if you found something, give it to the cr or dc of your class, or if it's something very valuable like id card or something, you can also give it to the hod room"
how can i contact the anti ragging cell?,"there is no separate anti-ragging department in the college, but students can directly complain in the admin office or to the chief proctor, who is the head responsible for handling such cases. apart from this, students can also report the issue on the official student helpline number for anti-ragging complaints. immediate action will be taken to ensure student safety and discipline."
"the ac/fans/lights lights, is not working, whom should i contact?",contact the building incharge or the ci of the class about this.
"there is no water in the women's washroom , whom should i complain?",contact floor incharge or building incharge.
most of the time women washroom are not cleaned properly or lights are not working. where should i complain?,contact floor incharge or building incharge.
"i lost my hostel key, where to report?",contact warden/hostel dc or floor dc.
"my class was not cleaned , whom to complain?",contact the building incharge or the ci of the class about this.
where is the medical room in the ab3 block?,there is no medical room in ab3block. medical room is near the library or ab 4 block.
how can i apply for hostel?,enquiry about it in the admin.
whom should i contact for bus and transport issue?,"for bus or transport related issue, contact the transport department."
how do i get my bonafide certificate from the college?,"to get a bonafide certificate, apply through the admin office or hod. they will verify your details and issue the certificate."
from where i can get new uniform?,you can collect your uniform either from the university or from the tailors shop.
where is the examination department?,examination department is in the incubation centre.
where is the sports room?,"it is in the ab3 block , first floor."
"if i want to join ncc, whom should i contact?","if you want to join ncc ,contact jyoti ma'am (ncc teacher) in the ab-1 block."
what is the emergency contact number for hostel security?,there is no official contact number for the hostel security.you have to contact hostel dc or warden .
"if a woman don’t feel safe on campus, whom should it contact?","if women don't feel safe on the campus, they can either inform about it to their ci or to the chief proctor office."
is there any women helping number in the college?,"maybe there is no women helpline number for the college, but there is one student helpline number for the college i.e. 89795 55555."
how can we complain about the food quality in the mess or cafeteria?,"if there is any issue with the food quality in the hostel mess, students can first complain to the mess dc. the mess dc will then forward the complaint to the head of the food department. after receiving the complaint, the department will check the food quality and take necessary action to resolve the problem."
whom should we contact if we have issues with our roommate in the hostel?,"if you have any issues related to your roommate, contact your warden."
whom should be contact if we are not feeling well or sick in the hostel at night?,"if you feel unwell or face any medical issue at night in the hostel, there are two dcs (disciplinary committee members) present on each floor to help you. they will immediately take you to the mission hospital for treatment. if the situation is serious, your parents will be informed right away, and until then, the hostel authorities will take full care of you. all the medical procedures carried out in the mission hospital under such circumstances are free of cost for students."
how can i get tc from the college?,"to apply for a transfer certificate (tc), students need to visit the admin office first. the admin staff will guide you about the required procedure. generally, students may need to submit an application and get certain clearances, after which the request is forwarded to the examination centre for final approval and issuance of the tc."
how can i get my degree certificate from the college?,"the degree certificate is issued after course completion, usually at the convocation. if you miss it, you can collect it later from the examination centre/records office with your details."
where i can complain about the cr/dc?,you can complain about the cr in dc either to the ci or the hod and your information will be kept confidential.
whom should i contact to get approval from the college for my internship?,"to attend an internship, you need to write an application and get it signed by your dean, then by the dean ci, and finally by the crc. after the required signatures, you will receive a no objection certificate (noc). only after this approval can you officially join the internship, and your attendance will be managed as per the college rules."
do i need a approval or permission from the hod to do internship?,"yes, you need the permission of an hod along with the dean,  ci and crc."
"will my attendance will be marked ,while i am doing my internship?","yes, your attendance will be marked."
"if i want to change my course, whom should i contact?","you can change your course in the first semester only before the even semester exams or the final exams, and for that, you have to write an application to the hod."
from whom i can get guidance for research paper work?,"to get guidance related to research paper, you can ask any of your professor for that, they can help you out."
can i get attendance relaxation due to medical issues?,"if you are unable to attend classes because of medical reasons, you need to inform your hod as soon as possible and submit a medical form/medical certificate. based on the approval of your hod and the college rules, attendance relaxation may be granted."
whom should i contact if i am unable to appear for an exam?,"if you are unable to give your exam due to any reason, please inform about it to your ci.also give one application."
"if students are misbehaving on the bus, whom should i complain to?","if students are misbehaviour in the bus, contact transport office or either complain to chief proctor regarding it."
"if i miss my college bus after classes, what should i do?",inform transport department about it.
"if my bus doesn’t reach my stop, whom should i report to?","if your bus does not reach your stop, you can call the transport office."
from where we can get previous year question papers?,"to get previous year question paper of any subject, go to the library. there is a dedicated shelf for previous year questions."
where to contact for complains about the college ??,"if you face any issue related to anything like ragging or misbehaviour of someone or about the teachers or anything else, you can complain to your ci, hod ,dean or to chief proctor."
can i pay my fees offline at the counter? if yes then where?,"yes, you can submit your fees offline by visiting the fees submission room located in the ab-1 library."
what payment methods are accepted?,"cash, card , cheque , upi , net banking , demand draft , neft, credit card , debit card all are accepted."
how do i download my online fee receipt?,you can download your fee receipt directly from the fee section in the erp portal.
can i pay my fees in installments?,"yes, you can pay your fees in installments."
where is the examination room?,at the top floor of the incubation centre.
how can i submit the examination form?,"open your erp portal and click on ‘more’. under this, you will find the ‘examination’ tab—click on it. your examination form will appear; scroll down and submit the form."
where is the student record room?,on the ground floor of ab-6 block beside crc department.
how do i apply for scholarships?,by submitting all your needed documents in the student record room after filling the application form on the https://scholarship.up.gov.in/ site.
what documents are required for scholarship applications?,"you are required to submit the following documents, each in two copies (e.g., two xerox copies of aadhaar card, and similarly for the others): 10th and 12th marksheet (xerox), latest college marksheet (xerox), domicile certificate (xerox), caste certificate (xerox), income certificate (xerox), verification copies of domicile/caste/income certificates, gap certificate (if applicable, xerox), college fee receipt (xerox), aadhaar card (xerox), bank passbook (xerox), and the application form (printout and xerox)."
where do i contact for fee payment issues?,if you have fee payment issue you can contact the accounts department in the admin block.
is there a photocopy facility available inside the campus?,"yes, in the academic block-3 library."
where is the libraries located?,there are 2 libraries in the campus. one is in academic block-1 and the other one is in academic block-3.
what are the library timings?,from 9:00 am to 5:00 pm. monday to saturday.
is there a stationery shop inside the college?,"no, currently it is not.but soon it will be integrated soon."
where is the medical room?,the medical room is situated on the left side of the e-library.
where is the nearest atm or bank on campus?,the atm is near the main gate of the university.
where is the auditorium located?,infront of the main lawn.
where is the chief proctor office?,in academic block-3. room no. 70.
what is the process for a no-dues certificate?,"first, you need to collect the no dues slip from the examination department, and then have it stamped at the academic block–3 library."
where are seminar halls?,seminar halls are presnt in ab-6 block.
what is the procedure of getting marksheet?,first you need to apply for the marksheet in the examination department and once the process is done you will get your marksheet.
where do i get my college id card?,day scholars will get their id's from the respective class incharge and hostellers will get their id's from the respective wardens.
what should i do if i lose my id card?,do complain to your respective class incharge. and a certain of fine will be imposed on reissuing your id card.
how do i get my library card?,by asking the library incharge to issue that for you.
